Data Series,Total All Markets,  America,    Antigua And Barbuda,    Argentina,    Bahamas,    Bermuda,    Brazil,    Canada,    Chile,    Colombia,    Costa Rica,    Cuba,    Dominican Rep,    Ecuador,    El Salvador,    Guatemala,    Guyana,    Honduras,    Jamaica,    Mexico,    Netherlands Antilles,    Panama,    Paraguay,    Peru,    Puerto Rico,    St. Vincent And The Grenadines,    Trinidad And Tobago,    United States,    United States Virgin Islands,    Uruguay,    Venezuela,    Other Markets America,  Asia,    Afghanistan,    Bahrain,    Bangladesh,    Brunei,    Cambodia,    China,    Christmas Island,    Hong Kong,    India,    Indonesia,    Iran,    Iraq,    Israel,    Japan,    Jordan,    Kazakhstan,"    Korea, Dem Peo Rep Of","    Korea, Rep Of",    Kuwait,    Lao,    Lebanon,    Macao,    Malaysia,    Maldives,    Mongolia,    Myanmar,    Nepal,    Oman,    Pakistan,    Philippines,    Qatar,    Saudi Arabia,    Sri Lanka,    Syria,    Taiwan,    Thailand,    Turkiye,    United Arab Emirates,    Viet Nam,    Yemen,    Other Markets Asia,  Europe,    Austria,    Belarus,    Belgium,    Bulgaria,    Croatia,    Cyprus,    Czech Rep,    Denmark,    Estonia,    Finland,    France,    Germany,    Greece,    Hungary,    Ireland,    Italy,    Latvia,    Lithuania,    Luxembourg,    Malta,    Netherlands,    Norway,    Poland,    Portugal,    Romania,    Russia,    Slovakia,    Slovenia,    Spain,    Svalbard And Jan Mayen Islands,    Sweden,    Switzerland,    Ukraine,    United Kingdom,    Other Markets Europe,  Oceania,    Antarctica,    Australia,    Fiji,    French Polynesia,    Guam,    Marshall Islands,    New Caledonia,    New Zealand,    Northern Mariana Islands,    Papua New Guinea,    Samoa,    Solomon Islands,    Vanuatu,    Other Markets Oceania,  Africa,    Algeria,    Angola,    Benin,    Cameroon,    Cape Verde,    Comoros,"    Congo, Dem Rep Of",    Cote D'ivoire,    Djibouti,    Egypt,    Ethiopia,    Gabon,    Ghana,    Guinea,    Kenya,    Liberia,    Libya,    Madagascar,    Mauritius,    Morocco,    Mozambique,    Nigeria,    Reunion,    Seychelles,    Sierra Leone,    Somalia,    South Africa,    Sudan,    Swaziland,    Tanzania,    Tunisia,    Zambia,    Zimbabwe,    Other Markets Africa
2019 Oct,42282.5,5754.5,0,6.2,0,0,273.2,235.6,7.2,1.5,27.8,1.2,4.9,1,0.7,2.3,0,0.2,0.1,279.2,0,0.9,0.1,3,11.6,0,40.7,4850.1,0,5.4,0.1,1.4,28378.3,0.7,0.8,23.7,5.5,176.3,6125.5,0.1,350.7,802.5,1836.5,0.2,268.7,57.4,2377.5,2.2,92,0,1688.8,363,0.7,0.1,2.9,4982,0.1,0.1,31.5,0.5,28.3,9.5,715.2,504,844.1,8.2,0,4397,872.6,99.9,1264.3,361.4,0.8,82.7,6624.7,76,0.8,148.9,31.4,2.4,0.8,68.8,112.6,6.5,47.4,1539.9,1090.6,9.4,31.5,91.2,499.7,2.5,7.5,4.5,25.1,248.6,127.7,52.4,33.6,19.7,323.8,9.5,6.1,144.8,0,129.3,680.4,15.9,1028.9,6.6,941.8,0,797.5,7.2,0,0.1,0,0,127.6,0,3,0,0,0.4,6,583.2,90.3,83.2,0,4.8,0,0.1,36.2,1.6,0.1,2.7,41,0,16.5,0,1.6,0,43.5,0.7,0.8,21.5,9.5,60.1,0.1,0.1,0,0,50,0.2,0,0.1,28.6,21.5,0.7,67.9
2019 Sep,39450.6,5633.1,0,3.7,7.5,0,197.2,210,6.8,1.4,24.5,0.5,4.3,0.8,0.7,2.9,0,0.1,0.2,265.3,0,1.2,0.1,1.3,11.9,0,0.1,4726.8,0,0.4,163.5,1.7,26350.3,0.1,41.8,25.7,31.9,362.4,5610.9,0,304.6,869.6,2041,0.1,278.6,83.8,2093.9,4.1,89.5,0,1534.5,123.8,1,1.2,0.8,4714.7,0,0,15.6,1,101.9,6.9,734,416.1,547.3,7.9,0,3766.9,863.3,100.3,1202,371.8,0.5,0.8,6310.1,73.7,1.7,109.3,4.1,1.3,0.7,63,59.1,2.5,35.9,1553.2,1084.8,12,33.9,72.5,350.2,3.6,12.5,3.5,20.1,262.8,50,47.3,28.6,16.5,420.4,9.2,9.8,130.2,0,104.3,753.2,10.9,961.6,7.5,866.8,0,753.4,0.4,0,0,0,0,79.1,0,33.3,0,0,0,0.6,290.4,38.2,1.5,0,2.8,0,0,0,1.5,0,2,1.2,134.5,10.4,0,0.9,0.1,0,0.6,2,20.9,0.6,0.8,0.1,0,0,0,42.2,0.1,0.3,4.1,1.6,0,1.6,22.3
2019 Aug,40998.2,6128.8,0,7.4,0,0,178,201.9,5.1,1.3,15.7,0.9,4.8,1,0.7,3.8,0,0.2,0.1,327.7,0,1,0.2,2.3,9.2,0,0,5362.1,0,3,1.6,1.1,26671.9,0,39.3,23.1,61.3,818.1,5045,0,354.8,960,2047.7,0.4,446.6,55.9,2057.2,2,1.2,0,1223,160.6,0.7,0.3,0.6,4647.1,0.1,0.2,37.3,0.2,3.8,11.8,789.5,356.9,758.2,9.1,0,3945.6,902.3,131.4,1229.3,549.6,0,1.7,6533.8,83.1,1.2,110.5,4.1,2.3,1.3,55.2,57,3.8,40,1384.5,1141.9,11.9,32.5,76.2,451.5,3.4,7.2,3.4,21.8,497,48.2,52.4,26.1,14.4,354.7,7.9,7.6,140.9,0,118.9,713.7,5.2,1044.7,9.5,1015.1,0,912.4,0.3,0.4,0,0,0,72.5,0,28.3,0,0.1,0.6,0.3,648.6,206.4,62.5,0,37.9,0,0,0,1.3,0,4.2,0.3,0,14.4,0.1,1.8,0.2,46.2,0.3,2,16.4,0.6,71.8,0.3,0,0,0,43.6,0,0,1.4,1.9,51.5,3,80.5
2019 Jul,42030,5986.2,0,8.8,0,0.1,193.8,163.9,7.3,31.6,11.2,1.2,4.8,1.2,0.7,4.6,0,0.2,0,288.1,0.8,54.2,0.1,1.9,8,0,0.1,5126.3,0,1.8,73.1,2.4,28473.3,0,2.3,25.2,60.6,710.6,5612.2,0,246.8,782.7,1946.3,0.1,363,85.6,2149.5,5.4,1.2,0,1438.3,95.2,1.3,0.1,0.9,4899,0.1,0.1,11.9,0.3,7.3,12.2,755.7,560.6,1010.7,7.9,0,3918,1081.5,107.2,2074,498,0.3,1.2,6325.3,85,2.7,140.2,3.5,2.1,1.7,57.9,53.5,2,41.8,1377.2,1194.5,12.1,33.1,94,486,3.1,110.6,7.2,16.6,298.6,48.1,46.8,36.2,17.6,256.1,9.9,7.3,153.3,0,124.5,657.3,55.4,881.7,7.6,815.3,0,665.9,0.6,0.3,0.1,0,0.1,107.4,0,39.8,0,0.7,0.2,0.2,430,91.3,0,0,2.5,0,0,0,1.8,0.2,57.4,0.4,70.7,12.9,0,0.6,0,0,2.3,1.7,18.7,0.3,1,0,1.8,0.1,0,46.1,0,0.2,2.2,2.8,1,1.3,112.3
2019 Jun,38979.9,5876.4,0,7,0,0,157.8,191.5,7,0.9,9.4,0.7,6.7,1,1,5,0,0.8,0,241.9,0,0,0.1,1,36.7,35.1,36.1,5125.4,0,9.8,0,1.4,26052.4,0,40.9,24.1,97.7,645.6,5061.6,0.1,362.3,509.6,1713.9,0.5,607.2,47.5,2054.4,2.6,0,0,1470.3,235.8,0.4,0.1,0.9,4233.8,0,0.2,12.4,0.1,20.4,6.9,747.7,634.6,980.5,8.4,0,3577.3,1225.5,128.6,1208.7,391.1,0.1,0.6,6054.8,69.3,1.4,154.6,4.2,1.4,1.1,43.9,41.8,1.5,33.8,1247.6,1016.8,27,31.7,75.4,420.6,4.6,11.4,9.8,18.7,270.9,73.3,55.7,41.6,11.9,581,9.6,7.1,112.8,0,123.6,668.8,23.1,852.7,6,503.7,0,441.9,0.1,0.2,0,0,0,59.8,0,1.4,0,0,0,0.2,492.6,105.6,0,0,2.9,0.1,0,0,0.3,0.1,4.5,0.4,82.9,8.8,0,1.1,0,0,1.5,1.6,19.6,0.1,76.8,0.4,0.6,0,0,60.5,0.3,0.1,0.1,2,1.1,2.1,119.2
2019 May,42637.6,5797.3,0,5.6,0,0,143.1,213.3,6.4,1.5,10,1,4.2,2.2,0.6,2.7,0.1,0.2,0.1,323.6,0,0.3,0.1,1.2,101.2,0,0,4969.2,0.1,9.5,0.3,0.8,27541,0,1.7,31.7,4.9,11.2,5635,0.1,249.6,938.9,1768.7,0.4,319.1,52.9,1981.3,3.6,0,0,1639.4,448.7,0.9,0,0.9,5260.8,0.1,0,13.8,0.2,5.6,8,759.5,819.6,900.3,8.3,0,3909.6,835.5,46.6,1390.4,492,0.4,1.2,7987.4,85.5,3.1,220.4,3.9,2.1,0.5,51,89.8,3.8,41.8,1692.4,1201.6,13,31.4,79.2,479.8,3.1,7.5,5.3,19.9,510.8,174.7,98.6,36.2,17.2,812.3,9.1,9.7,142.4,0,171,944.1,42.9,977.2,6.2,889.4,0,717.1,0.4,0.2,0.1,0,0,147.8,0,23.4,0,0.2,0,0.3,422.5,9.3,56.2,0,6.2,0,0,0,2,0,5.6,0.5,0.1,13.6,0,2.1,0,43.1,1.3,1.5,18.3,8.9,58.2,0.1,0.1,0.1,0,51.8,0.1,0.1,0.2,2.4,32,0.3,108.3
2019 Apr,41294.9,6128,0,14.9,0,0,159.3,380.7,5.6,1.3,14.3,0.7,5.1,2.7,0.7,1.7,0.3,0.6,0.2,242.8,0.2,0.1,0.1,1.7,8.4,0,0,5275,0,10,0,1.5,26807.2,0,12,23.6,3.8,12.8,5580,0,649.9,672.9,1394.2,0.5,364.9,63.8,2369.4,47.3,0,0,1545.6,101.5,1.5,0.3,0.8,4770.8,0.2,0.1,37.7,1.5,5.2,8.6,989,684.6,1325.9,9.5,0,3603.9,715.7,33,1366.9,408.5,0.5,1,7157,83.6,2.7,134.3,3.5,1.4,18.2,56.2,41.7,4.4,40.2,1109.3,1238.4,11.6,29.6,67.1,485.2,3.2,10,3.6,17.3,541.2,109.9,39.6,50.9,13.8,967.7,12.9,9.2,126.2,0,139.4,852.4,30.6,895.4,6.3,820.3,0,663.2,0,0.1,0,0,0.2,81.1,0,74.6,0,0.8,0,0.2,382.4,0,0,0,5.3,0,0,0.1,1.1,0.2,55.6,0.3,61.6,14.2,0.1,0.7,0,27.4,4.3,1.3,21.5,5.5,68.4,0.1,0.1,0,0,48.8,0,0.5,2.8,2.4,29.1,0.6,30.4
2019 Mar,40340.1,5528.7,0.1,6.1,0,0,79.4,205.1,5.5,1.3,11.2,1,4.1,1.3,1.1,2,0,0.2,0.1,271.7,0.2,0.4,0.1,1.5,7.2,0,0,4925.9,0,1.7,0.2,1.5,26773.8,0,59.7,30.8,6.1,10,5584.7,0,539.1,627.3,1823.9,0.6,546.7,50.9,2456.8,1.4,0.1,0,1848.6,240.3,0.8,0.1,1.3,4774.1,0.1,0,21.7,0.1,67.2,9.4,946.2,544.5,905.5,9.7,0,3336.4,847.6,67.1,952.3,460.5,0.6,1.6,7128.7,92.3,2,222.4,3.2,1.2,1.1,58.2,47.3,5.2,45.1,1309.2,1235.6,11.5,31.3,87,534.3,2,21.2,7.7,20.2,356.1,147.1,60.3,48.8,18.1,374.4,9.5,7.9,136.9,0,139.4,970.8,35.6,1081,5,518.9,0,355.7,0.7,0.1,0.1,0,0,137.7,0,24.4,0,0,0,0.1,390,0,0,0,4.7,0,0,0,1.1,0,41.3,0.1,0,14,0,0.3,0,138.1,2.5,3.7,17.5,7.8,37.7,0.1,0,0,0,44.4,0,0.1,0,2.7,12.7,1.5,59.5
2019 Feb,36074.4,5381.1,0,8.5,6.7,0,125.9,179.1,9.2,62.1,7.8,1.7,4.1,2.5,1.4,1.4,0,0.6,0,245.7,0,0.2,0.1,0.8,6.1,0,0.1,4506.7,0,1.4,208.3,0.8,22762.9,0,54.4,26.5,9.4,14.1,4037,0,196.8,670.2,1704.5,0.4,802.3,55.3,2111,2.7,0,0,1615.7,165.2,0.3,0.2,1.5,3825.7,0.1,0,32.6,0.1,16.1,9,874.6,710.8,1102.3,8.3,0,2801.4,760.1,117.4,753.9,281.5,0,1.8,6730.3,79.8,2.1,104.3,3.2,1,17.7,42,47.7,4.4,37.1,1152.2,1042.8,8.4,26.5,67.5,356.5,2.2,10.5,3.7,21.1,301.9,511.1,39.2,38.9,11.2,794.9,8.8,6.8,103.2,0,118.4,676.4,9.2,1074.2,5.4,787.2,0,716.8,0.1,0.2,0,0,0,68.9,0,1,0,0,0,0.2,413,0,43.8,0,2.3,0.1,0,0.4,1.4,0,54.3,0.3,36.2,13.9,0,0.7,0,148.9,0.5,1.6,20.3,0.5,0,0,0.1,0,0.1,44.7,0.1,0.2,0,2.2,0,3.6,36.8
2019 Jan,41553.6,5543.6,0,13.2,0.1,0.7,95.2,207.5,13.1,52.3,11.3,2.7,3.5,2.4,0.8,5.6,0.1,0.2,0.1,247.4,0.9,0.3,0.1,0.9,9,0,0,4791.4,0,2,80.4,2.3,27643.4,0,66.4,34.5,56.7,15.6,6216.6,0,302.4,594.3,1747.2,0.9,524.5,56.4,2228.2,30,87.4,0,1596.7,235.1,1.4,0.1,6.2,4608.9,0.1,0,13.5,0.2,6.7,8.9,892.2,743.7,1351.4,10.1,0,3612,766.6,97.5,1308.8,420.4,0.4,1.7,7489.3,89,2.4,142.7,2.9,11.4,1.5,55.6,53.1,54.6,37.3,1314.6,1102.6,92.1,30.3,82,501.5,2.8,13.7,13.1,85.3,356.2,113.9,34.9,48,12.4,1058.1,10.5,7.2,104.1,0,159.3,769.6,23.4,1095.5,7.5,614.4,0,533.9,0.5,0.3,0,0,0,77.2,0,1.1,0,0,0,1.4,262.8,0,0.2,0,2.2,0.1,0,0.5,1.5,0,76.6,0.1,0.1,15.6,0.1,0.5,0,0.4,5.6,1.1,21.1,0.2,0.6,0,0,0,0.6,41.6,0,0,0.3,2.2,0.7,1.9,89.1
2018 Dec,42566.5,6184.6,0,5.9,34.2,0,205.9,205,43.4,119.1,9.2,0.5,5.3,1.3,1.4,2.4,0,0.3,0,326.8,0,0.4,0,1.2,20.7,0,3.2,5077.3,0,1.1,119.3,0.5,27352.6,0.1,47,23.3,83.3,12.8,5709,0,346.4,761.9,1824.9,0.9,170.9,73,2594.3,2,0,0,1497.8,390,1.7,0.1,2.2,4874.2,0,0,14.3,0.2,2.7,9.4,836.3,763.4,1259.9,9.7,0,3589.3,864.1,115.8,1081,384.3,0.2,5.8,7742.8,86.5,0.9,208.4,44.4,1,20.6,60.7,54.2,5.9,48,1578.8,1141.4,60.5,30.4,134.4,554.9,3.5,21.8,43.7,20.5,482.5,48.8,44.4,41.9,14.9,714.4,15,9.6,114.8,0,113.5,958.9,37.1,1020.6,5.9,895.3,0,744.8,0.2,0.2,0,0,0.1,88,0,61,0,0,0.3,0.6,391.1,0,10.9,0,37.5,0.2,0.5,0,0.1,0.1,24.6,0.5,26.9,11.4,0,0.8,0,108.5,0.7,2.9,24.2,0.5,8,0.1,0,0,0,60.1,0,0,4.7,6.8,6,2.6,52.6
2018 Nov,45114.6,6013.9,0,6.6,0,0.1,199.9,230.3,8.1,92.7,10.5,1.8,3.8,1.1,1.4,0.3,0,0.2,0,290.5,28.3,0.7,0.2,2.9,9.2,0,0,5055,0,1.6,67.7,1.1,29765.8,0,0.9,31.9,90.1,14.4,5832.5,0,354.9,951.8,1563.3,0.4,558.7,63.2,2615,3.2,117.5,0,1550.8,411.8,1,0.2,1.8,4880,0,0,20.9,0.2,230.4,7.1,1013.6,938.2,1843.6,8.9,0,4020.5,912.4,149.3,1171.6,400.8,0.2,4.5,8032.7,87.9,2.1,124.4,30.7,2,1.2,47,45,39.8,34.6,1673,1144.1,9.2,32.8,114.5,518.8,76.5,14.2,1.4,138.9,401.2,127.5,74.3,53.8,16.9,698.8,12.8,6.1,119.4,0,134.5,1242.9,14.5,984,8,875.7,0,765.6,0.8,0.2,0.1,0,0.6,103.3,0,3.6,0,0.8,0,0.8,426.5,0,0.4,0.1,1.1,0,0,0.1,0.6,0.2,34,0.8,0.1,12,0,0.5,0,120.5,0.7,1.6,21.4,3,0.2,0.1,0,0,0,59.9,0,0,1.4,2.4,40.2,0.4,125
2018 Oct,47127.1,6409.9,0,8,6.6,0,203.6,176,8.7,1.6,10,0.6,3.8,1.4,1.4,0.4,0,1,0,243,0,0.1,0,3,25,0,0.1,5659.7,0,3.2,51.4,1.2,31710.5,0.1,33.3,37.2,153.5,10.6,5974.4,0,442.8,1054.9,2001.4,0.4,413.3,53.1,2830.2,0.8,0,0,2007.8,430.5,0.3,0,2,5612.9,0,0,13.7,0.3,69.4,6.5,944.5,1019,1944.4,11.5,0,3923.5,1030,60.4,1238.3,387.7,0.3,1.3,7805.9,97,1,156.3,3.2,2.2,1.1,61.3,52.7,2.7,40.2,1500,1222,10.3,37.7,112.7,499.4,3.2,12.9,37.3,37.6,374.2,57.9,44.2,39.4,15.8,688,15,9.6,112.9,0,180.4,1304.7,28.1,1031,14.1,801.7,0,635.2,0.6,0.2,0,0,0.1,93.9,0,70.8,0,0.7,0.1,0.1,399.1,0,0.1,0,1.1,0.1,0.1,0,0.7,0.1,24.7,1.3,0,13.8,0,5.7,0,125.5,1.1,1.5,16.6,0.7,71.9,0.1,0,0,0,66.4,0,0.4,1.7,2.2,5.2,3.7,54.2
2018 Sep,41439.6,5466.5,0,6.4,0,0,194.3,211.4,4.6,64,8.3,0.8,4.4,2.4,0.8,2.5,0,0.1,0,241.6,0.1,0.1,0.3,1.4,42.8,0,0,4583.3,0,2.6,93.4,1,27426.4,0.5,1.7,31.2,45.8,8.1,5370.5,0,467.7,821.9,1621.9,1.2,261.9,56.5,2491.9,2.5,111,0,1719,448.6,0.6,0.1,1.8,4591.9,0.1,0,10.1,0.1,13.3,7,1021.4,791.1,1461,9.8,0,3590.9,867,126.3,1044.9,421.6,0.3,5,7542.6,108.5,1.7,206,8.1,2.4,10.2,58.7,98.3,2.5,32.6,1526.1,1171.8,82.7,27.4,117.4,323,154.4,52.2,4.3,43.2,504.7,45.2,48,35.8,10.3,538.8,10.6,6.4,145.4,0,91.4,1123.6,21.6,916.7,12.4,686.2,0,550.6,0.5,0.2,0.1,0,0,101.7,0,33,0,0,0,0.1,317.9,0,0,0,1.2,0,0,0.5,0.4,0.3,42.2,0.6,0,10,0,0.7,0,50.7,2.3,1.1,14.5,0.4,9.5,1.4,0,0.6,0,43.1,0.1,0,2,1.8,0,1.9,132.3
2018 Aug,43802.1,6031.7,0,4.8,12.9,0,222.7,265.9,5.1,23.4,7.9,0.5,4,2.4,1.2,1.9,0,0.1,0,289.1,0.2,64.3,0.1,1.3,15,0,1.2,5016.8,0,3.2,85.8,1.7,28371.5,0.1,54.8,45.9,37.3,17.8,5730,0,398.6,861.5,1792.1,0.9,386.6,64.8,2276.1,3,2.1,0,1742.9,452.8,0.4,0.2,1.8,4849.4,0.1,0,30.5,0.6,22.4,7.8,904.6,887.3,1258.9,11.5,0.3,3790.2,1053.7,39.8,1224.3,418.7,0.4,1.1,8218.9,88.5,1.7,209.9,3.3,1.8,12.1,47.8,53.4,5.5,31.8,1232.3,1198.1,9.6,30.5,132.1,559.9,75.9,43.2,3.2,57,466,104.3,62,52.3,11.7,648.7,14,7.8,168.7,0,138.3,1451.6,24.5,1260.3,10.9,827.4,0,673.3,0.5,0.1,0,0,0.1,101.8,0,50.7,0,0,0,0.8,352.6,0,0.4,0,1.5,0,0,0,2.6,0,32.6,0.7,0,17.5,0,0.5,0,22.1,0.6,1.3,13.7,0.2,9.1,0,0.1,0,0,180.6,0,0,0.5,5.5,24.7,1.2,37
2018 Jul,44972.5,5590.7,0,6.4,0,0,167.5,225.6,6,93,11.8,0.7,5.4,3.7,1.7,2.7,0,0.4,0,262.1,0.1,0.3,0.2,1.3,14.8,0,0,4782.8,0,3.5,0,0.6,29381.2,0.1,1.4,30.1,34,17.1,5842.3,0,451.9,960.4,1844.1,0.6,423.8,84,2471.7,3.2,12.8,0,1696,180.5,0.9,0.1,2,4984.8,1.1,0,26.7,0.7,13,6.5,907.3,921.6,1621.8,12.8,0,4119,962.3,37.3,1265.4,442,0.3,1.6,8694.4,86.1,0.6,134.3,3.6,1.3,2.1,51.1,49.7,1.3,26.6,1618.8,1175.8,10.1,39.7,106.3,560.9,3.3,39.1,6.8,44.6,638.4,114.9,45.3,39.5,12.2,643.4,14.4,7.5,182.8,0,136.4,1632.1,35.7,1223.3,6.5,773.2,0,662.1,0.3,0.2,0,0,0.2,107.9,0,0.8,0,0,0.1,1.6,533,0,0.9,0,1.9,0.1,0,0,1.9,0.4,50.7,2.6,0,17.1,0,0.6,0,239.8,2.4,1.2,16.1,0.1,0,0.1,0.2,0,0.3,79.7,0,0.1,0.2,1.5,0.7,2.5,111.9
2018 Jun,41054.6,5961.2,2,4.6,0,0,140.2,145.5,6.1,1.3,9.6,1,5.6,2.2,2.3,1.6,0,0.4,0.1,243.7,0.1,0.6,0.1,1.4,55.6,0,0.1,5173,0.1,1.5,160.6,1.8,26804,0.4,1.4,29,35.4,13.9,5560.8,0,539.2,719.3,1408.7,1,539.1,78.4,2341.4,1.4,35.3,0,1436.6,705.5,1.2,0.5,1.3,4611.3,0,0,15.2,0.3,36.2,8.6,846.8,568.5,1266.7,8.2,0,3644.1,957.3,31,969,389.3,0.4,0.9,7126.1,83.7,0.5,109.9,24.6,6,1.5,56.6,50,68.5,39.1,1092.9,1063.3,11.1,33.3,106.3,441.9,68.7,134.2,5.1,52.7,419.5,53.9,73.4,38.6,9.9,687.7,9.4,5.4,147.5,0,102.6,1287.4,2.3,832.5,6.2,828.5,0.1,710.2,0.5,0.1,0.4,0,0.1,66.8,0,49.8,0,0.3,0,0.1,334.9,0,0,0,3.4,0,0,0,1,0,4.8,0.7,0,15.7,0,0.8,0,45.9,6.8,0.6,16.1,0.2,2.3,0.1,0,0.1,0,78.5,0,1.5,0.1,3.2,1.6,0.8,150.6
2018 May,42887.8,5661.3,0,4.2,0.4,0.1,88.6,109.1,4.8,59.5,11.5,0.8,4.8,1.3,1.5,2,0,0.3,0.1,255.5,0.1,0.4,0.2,0.9,9.8,0,0,5017.2,0,0.3,86.8,1.3,28718.4,0,3.1,28.7,66.5,10.1,5899.3,0,505.2,779.4,1741.9,2.8,684.6,56.8,2579.9,2.1,5.4,0,1501.2,680.8,0.7,0,1.2,5219,0.1,0,38.4,0.2,0.6,6.5,909.3,608.3,1208.5,8.3,0,3687.4,1010,45.4,1043.9,380,0.2,2.1,7181.7,90.5,0.5,146.7,3.3,1.6,1.5,71,147.8,1.5,31.8,950,1125,303.7,35.1,102.8,640,2.8,67.6,4.8,61.3,561.2,112.2,65.2,50.4,10.9,733.3,10,12.6,157.6,0,138.1,911.9,2.1,617.6,9.2,793.2,0.3,700.2,0.7,0.2,0.1,0,0,80.1,0,9,0,0.4,0,2.3,533.2,0,37.3,0,4.7,0,0,0,2.3,1,4.3,0.3,0,15.2,0,0.8,0,59.1,18,1.2,15.9,0.6,0.3,0.1,0.1,0,0,56.3,0.2,0.1,8.8,45.9,14.7,1,245.1
2018 Apr,38382.7,5122.6,0,8.3,0,0,191.9,128.8,6.4,1.4,9.4,0.5,4.5,0.7,0.9,1.9,0,0.3,0.1,221,26.7,0.7,0.3,1.6,58.8,0,4.6,4440,0,2.3,11,0.6,26249.7,0,3.9,23.1,42.8,8,5552,0.1,354.8,623.1,1579.8,0.9,256.1,71.6,2518.8,0.8,23.8,0,1509.5,433.2,1.3,0.2,1.6,4823.9,0,0,7.8,0.3,11.6,5.9,778.3,596.8,1712.8,13.4,0.3,3200.5,853.6,42,787.7,378.5,0.3,30.3,6237.3,92.5,2.3,137.9,2.5,1.2,1.5,55.9,50.7,1.6,31.1,1001.7,1117.4,9.3,30.8,94,444.2,1.1,6.2,2.2,16.2,410.9,72.3,49.8,52.7,10.7,646.1,9.6,6.5,176.8,0.2,143.4,1010.7,1.8,536.3,9.4,490.3,0,422.4,0.3,0.5,0,0,0.1,54.4,0,12,0,0,0,0.5,282.7,0,0,0,2.7,0,0,0,1.1,0.1,5.8,0.1,5,11.3,0,1.2,0,10.2,14.4,1.6,14.7,2,0.2,0.4,0.1,0,0,68.3,0,0,0.2,2.5,0,1,139.7
2018 Mar,39745.5,5316.7,0,10,2,0,137,138.1,6,0.9,8.9,1.1,4.3,0.9,1.3,3.1,0,0.3,0.1,267.3,0.5,0.2,0.3,0.8,12.8,0,47.9,4669.1,0.1,1.2,0.1,2,26481.1,0.1,2.5,29.6,30.8,21.7,5140.1,0,470.2,850.2,1781.6,1.1,512.8,88.5,2570.3,2.9,0,0,1590.3,670.6,1.2,0.1,1.1,4710.6,0.1,0.2,33.4,0.1,4.4,5.4,812.3,515.8,1144.3,11.4,0,3112.8,949.3,53.5,914.2,413.8,0.3,33.4,6963,89.2,2.1,101.6,22.3,23.6,1.2,49.3,48.2,2,31.7,1036,1182.3,33.4,31.1,106.5,488.6,1.9,47,6.8,44.5,615.1,50.1,45.1,50.8,10.5,612.4,6.4,5.5,140.1,0,123.8,1167.4,12.7,762.1,11.7,651.5,0,511.5,0.8,0.1,0.1,0,0.1,126.7,0,10.8,0,0.1,0.1,1.2,333.2,0,1.3,0,3.6,0,0.3,0,0.4,0,6.2,0.4,0,9.9,0,1.2,0,68.6,13.6,1.3,13.8,0.2,38.2,0,0.1,0.1,0,76.8,0.5,0.5,0.1,2.5,10.7,0.7,82.3
2018 Feb,34609.6,4113.3,0,6.6,0.2,0,150.6,100.8,7.3,105.6,8.4,0.7,4.9,0.9,0.9,1.5,0,0.2,0.2,257.5,12.5,0.4,0.4,0.7,6.9,0,0,3297,0,1.3,146.4,1.4,23434.2,0,1.8,27,29.3,11.9,4746.6,0.2,285,642.6,1675.6,0.4,313.9,73.3,2471.4,1.6,0.1,0,1350.9,152.9,1.6,0.2,1.4,3943.5,0.2,0,7,0.4,2.5,7.7,770.8,787.4,1144.7,8.8,0,2510.7,825.8,65.4,1301,269.5,0.2,0.8,6061.9,75.6,1.8,95,26.3,16,1.2,37.4,44.9,2.2,26.3,964.5,963.9,75.1,36.4,91.3,442.4,0.7,33.5,10.9,18.7,480.1,58.1,41.5,41.3,9.3,738.9,6,5.6,101.1,0,110.4,814.5,75.1,606.1,10.1,600.3,0,517.3,0.2,0.4,0,0,0.1,79,0,2.7,0,0.3,0.1,0.1,399.8,0,1.8,0,3,0,0,0,0.4,0.1,5.1,0.2,0,10.6,0,0.8,0,0,9.5,1,12.4,0.4,2.2,0,0.1,0,0,63.2,0,0.1,0,29.7,0,3.2,256
2018 Jan,38491.5,4706.6,0,15,0.1,0,196.9,145.8,15.8,55.2,6.6,0.6,5,1.2,1.1,1.7,0,0.2,0.3,268.8,0.2,0.3,0.3,1.4,5,0,0,3792.7,0,2.4,189.1,0.8,26477,0.9,16.1,26,59.3,15.6,5650.7,0.1,295.2,776.8,1701.2,1.3,368.4,83.2,2141.3,2,0,0,1558,542,0.5,0.1,1.3,4645.8,0.1,0.2,48.3,0.2,104.5,8.6,805.5,761.5,1186.2,13.3,0.1,3226.4,908.2,85.3,1046.9,393.8,0.2,2.1,6318,96.9,1.5,177.1,3.2,5.4,1.9,40.3,44.8,2.2,28.5,1245.9,1152.6,107.8,34.4,97.9,389.8,1.9,76.6,7.6,16.9,447.2,98.3,51.4,51.3,12.1,426.8,7.7,9.8,113.9,0,124.7,758.3,36.4,636,10.8,591.8,0,474.6,1.3,0.2,0,0,0,87.7,0,27.6,0,0.1,0,0.2,398.1,0.2,45.9,0.1,2.3,0,0.4,0,1.2,0.4,5.2,0.1,19.5,13.2,0,0.3,0,46.2,8.7,1.6,14.3,0.3,2.9,0.1,0.1,0,0,65.4,0,0.1,1.9,1.9,9.5,2.4,153.8
