Data Series,Total All Markets,  America,    Antigua And Barbuda,    Argentina,    Bahamas,    Bermuda,    Brazil,    Canada,    Chile,    Colombia,    Costa Rica,    Cuba,    Dominican Rep,    Ecuador,    El Salvador,    Guatemala,    Guyana,    Honduras,    Jamaica,    Mexico,    Netherlands Antilles,    Panama,    Paraguay,    Peru,    Puerto Rico,    St. Vincent And The Grenadines,    Trinidad And Tobago,    United States,    United States Virgin Islands,    Uruguay,    Venezuela,    Other Markets America,  Asia,    Afghanistan,    Bahrain,    Bangladesh,    Brunei,    Cambodia,    China,    Christmas Island,    Hong Kong,    India,    Indonesia,    Iran,    Iraq,    Israel,    Japan,    Jordan,    Kazakhstan,"    Korea, Dem Peo Rep Of","    Korea, Rep Of",    Kuwait,    Lao,    Lebanon,    Macao,    Malaysia,    Maldives,    Mongolia,    Myanmar,    Nepal,    Oman,    Pakistan,    Philippines,    Qatar,    Saudi Arabia,    Sri Lanka,    Syria,    Taiwan,    Thailand,    Turkiye,    United Arab Emirates,    Viet Nam,    Yemen,    Other Markets Asia,  Europe,    Austria,    Belarus,    Belgium,    Bulgaria,    Croatia,    Cyprus,    Czech Rep,    Denmark,    Estonia,    Finland,    France,    Germany,    Greece,    Hungary,    Ireland,    Italy,    Latvia,    Lithuania,    Luxembourg,    Malta,    Netherlands,    Norway,    Poland,    Portugal,    Romania,    Russia,    Slovakia,    Slovenia,    Spain,    Svalbard And Jan Mayen Islands,    Sweden,    Switzerland,    Ukraine,    United Kingdom,    Other Markets Europe,  Oceania,    Antarctica,    Australia,    Fiji,    French Polynesia,    Guam,    Marshall Islands,    New Caledonia,    New Zealand,    Northern Mariana Islands,    Papua New Guinea,    Samoa,    Solomon Islands,    Vanuatu,    Other Markets Oceania,  Africa,    Algeria,    Angola,    Benin,    Cameroon,    Cape Verde,    Comoros,"    Congo, Dem Rep Of",    Cote D'ivoire,    Djibouti,    Egypt,    Ethiopia,    Gabon,    Ghana,    Guinea,    Kenya,    Liberia,    Libya,    Madagascar,    Mauritius,    Morocco,    Mozambique,    Nigeria,    Reunion,    Seychelles,    Sierra Leone,    Somalia,    South Africa,    Sudan,    Swaziland,    Tanzania,    Tunisia,    Zambia,    Zimbabwe,    Other Markets Africa
2024 Mar,51339.9,7279.1,0,42.4,0,1,574.8,261.1,8,15.1,42,1.2,6.8,6.2,2.3,3,84.1,0.7,0.1,353.7,0,0.2,0.2,7.2,26.9,0,2.1,5838,0,0.7,0,1.4,34701.7,0,43.7,31.6,130.5,12.9,6149.3,0,427.5,845.7,1896.9,0.4,158.4,83.5,2461.6,1.7,84.7,0,3269.5,113.4,1.8,0.1,0.7,5374.5,0.1,0,6.9,0.4,79.3,10.2,513.1,491.1,750.8,15.2,0,8310.6,1185.4,47.7,1561.7,603.4,0,37.5,7720,98.7,2.5,214.2,4,2.1,137.2,100,57.4,22.6,40.6,1363.2,1115.9,67.8,49.6,157.2,626.9,1.1,16,3.3,25.6,319.8,54.6,70.1,39,23.7,551.3,9.7,5.2,219.6,0,140.5,1145.6,3.1,1022,9.8,1199.6,0,1107.2,0.2,0.1,0,0,0.1,71.2,0,20.6,0,0,0,0.1,439.5,0,0,0,14.4,0,0.1,1,7.9,0,4.1,4.2,0,50.4,0.4,1.7,0,0,4.6,1,30.5,50.4,2.4,0.7,0,0.1,0,58.7,33.6,0.2,2.3,6.3,0.2,0,163.9
2024 Feb,45008.5,6398.3,0,45.1,0,0,715,248.1,23.4,0.8,39.6,0.3,3.9,2.8,1.7,0.7,0.3,0.4,0.1,266.9,0,0.1,0.1,33.7,9.3,0,46,4958.7,0,0.4,0,0.7,29498.2,0,120.8,15.4,257.4,18.3,4971.1,0,354.7,1025.7,1371.9,0.5,134.4,73.5,2154.5,4.7,0,0,2957.2,50.2,0.6,0.3,0.3,5084,0.1,0.1,3.5,0.5,175.7,5.9,435.1,525.3,812,25.2,0,5591.7,956.4,121.8,1675.5,550.6,0,23.2,7991.5,78,1.6,160.4,396.4,7.3,4.6,76.5,56.9,7,38.1,1629.5,967.5,12.8,40.5,128.7,538.3,1.3,8.9,2.4,36.3,422.5,61.2,56.2,38.4,33.9,671.5,8.8,6.1,139.7,0,113.8,1463.7,1.1,771.9,9.7,802.6,0,754.8,0.1,0.4,0,0,0,44.6,0,2.4,0,0,0,0.3,317.9,0,42.8,0,10.5,0.1,0,2.6,9.6,0,2.5,4.8,0,5.4,0,0.7,0,0,1.9,0.5,20.2,57.7,3.9,0.1,0,0,0,52.8,0,0.1,1,22.2,0.3,0.3,77.8
2024 Jan,49246.6,6711.7,0.2,35.6,0,0,506.8,480.8,13.1,1,47.3,1.5,7.9,7.2,2.5,1,0.2,0.4,0.2,279.8,0,0.2,0.5,15.1,8.6,0,42.2,5242.3,0,16,0.3,1.3,33019.8,0,1.1,18.3,195.9,18.6,6422.9,0,201.8,956.9,1747.6,0.2,150.1,87,2206.6,2.4,95.1,0,4087.8,44,4.9,0.1,0.5,5849.5,0.1,0.1,5.6,0.5,112.5,40.4,381.7,872.9,764.1,7.1,0,5658.6,1337,39.1,1029.2,678.8,0,0.8,7763.9,108,2.7,152.8,4.4,2.7,2.5,98.9,64.8,8.7,51.6,1501.3,1034.4,10.4,43,147,602.2,5.2,6.9,2.5,25.5,324.2,67.1,59.3,48.5,32.1,579.5,6.8,7.3,150.4,0,110.7,1525.4,1.9,966.6,8.3,1062.9,0,902.7,0.3,0.2,0,0,0.3,90.1,0,68.2,0,0,0,1.2,688.3,79.1,109.3,0,6.7,0.2,0.3,19.4,6.1,0.2,31.3,0.3,0,8.9,1.1,0.8,0,0,11,0.7,22.2,74,0.5,1.7,0,0,0,208.2,0,0.1,2.4,7.8,0.7,0.2,94.9
2023 Dec,45253.9,7171.9,0,37.3,0,0,597.2,210,9.8,1.4,67.1,2.1,7.3,6.6,1.6,2.9,0.3,0.5,0.1,234,0,0.3,0.4,30.4,7.5,0,0,5951.5,0,1,0.2,2.5,30043.1,0,1.1,14.6,175.6,28.9,5898.3,0,212.6,697.2,1857.2,0.5,0,72.2,2346.3,9,38.6,0,3166.3,123.5,0.2,0.4,0.5,4955.1,6.4,0,4.5,0.7,64.1,47.3,443.9,333.4,562.8,11,0,5752.4,1308.8,37.8,1184.2,656.6,0.1,30.8,6760.3,84.1,1.4,103.3,70,1.4,2.3,69.4,56.7,46.6,28.1,1431.7,1034,13.1,35,109.4,625.4,2.3,12.5,2.5,100.7,228.9,60.7,52.5,36.5,32.8,370,7.9,5.3,142.8,0,103.5,605.8,5.3,1270.2,7.9,966.5,0,808,0.3,0.1,0.1,0,0,80.6,0,77.1,0,0,0,0.2,312.1,62.1,0,0,4.8,0,0.4,1.7,9,0.4,3.6,1.1,0,3.5,0.5,0.7,0,0,18.3,0.4,25.9,12.3,1.9,0.4,0,0,0,38.3,18.9,0.2,2.4,5.2,0,0.2,99.8
2023 Nov,49402.4,7907.6,0,40.4,0,0,477.2,234.3,10.4,3.5,36.3,0.3,6.7,5.2,1.3,7.2,0.1,0.3,0,268.8,0,0.1,0.1,3,4.9,0,86.6,6717.1,0,0.5,0,3.2,32847.5,0,44.6,12.9,281,104.5,7283.3,0,213.8,814,1786.6,0.2,99.5,77.8,2432.8,6.8,95.2,0,3103.3,60.1,0.3,0.3,0.5,5426.4,4.9,0,8,0.8,75,38.3,449.9,683.4,548.5,9.3,0,5189.3,1413,137.1,1874.9,546.1,0,25.1,7093.4,92.2,0.8,91.8,82.6,1.8,1.8,73.5,114.1,31.6,44.8,1578.5,1084.8,13.1,50.7,129.1,706,2.4,8.1,2.4,22.9,361,53.5,65,67.1,27.2,511.5,10.3,12.2,253.9,0,150,578.4,2.9,859.1,8.2,1198.6,0,1051.7,0.4,4.9,0,0,0,62,0,78.4,0,0,0,1,355.3,0,114.8,0,2.8,0,0,1.2,10.8,0,2.1,8.6,0,4.6,0.9,0.5,0,40.6,3.4,0.8,24.4,0.2,4.6,1.1,0,0.1,0,64.6,0,0.1,5.2,61.1,0,1,1.8
2023 Oct,51889.5,7514.7,0,7.9,0,0,583.1,231.1,6.6,1.3,45,0.2,6.2,5.7,1.4,0.5,0.1,0.6,0.1,253.7,0,0.2,0.3,1.4,7.3,0,0.5,6358.4,0,0.6,0,2.3,34870.1,0,54.4,11.9,292.8,196.3,8248.7,0,227,736,1725.1,0.1,0,67.8,2352.3,3.8,154,0,3180.5,84.1,0.8,0.4,7,5654.6,17.6,0,6.7,0.6,18.4,7.8,503.8,858.7,867.1,8.1,0,5950.2,1554.6,123.1,1368.4,584.5,0.2,2.7,7815.5,83.4,0.9,150.4,21.8,2.3,2.3,67.6,129.4,178.6,49.3,1503.7,1116.3,74,56.8,111.9,676.6,2.2,18.7,2.8,25.4,305.8,66.9,57.6,28.2,25,380.9,8.3,6.2,210.8,0,147.4,1367,3,910.6,23.4,1158.2,0,1091.9,0.1,0,0.1,0,0,63.4,0,2,0,0,0,0.6,531,0,124.8,0,5.6,0,0,0.8,10.5,0.3,1.5,5.7,0,3.6,0.9,1,1.6,0,4.2,0.8,27.2,0,76.9,0.8,0,0,0,83.5,60.7,0.1,2.7,4.3,0,1.3,112.2
2023 Sep,48959.2,6991.3,0,5.7,0,0,835.3,206.5,8.4,7.5,21.7,1.5,7.8,5.1,1.3,1.1,24.3,0.2,0,251.9,0,0.2,0.3,12.2,4.9,0,0,5589.9,0.1,2.5,0.6,2.1,33954.2,0,21.7,13.7,189.7,10.6,7039.8,0,204.6,713.5,1675.3,0.3,119.6,85.4,2233.7,2.2,0.1,0,3049.6,188.7,0.5,0.3,0.4,5224.8,11,0,5.4,0.2,120.7,9.6,566,711,594.1,11.4,0,7289.2,1361.2,131.2,1852.4,513.5,0,2.3,6996.1,125.2,0.1,182.1,4.3,2.8,2.3,66.3,51.8,7.8,40.9,1356.3,1114,11.8,40.6,113,597.8,1.7,22.2,50.1,19.5,237.6,56.3,61.2,32.6,22.5,428.1,7.8,8.7,191.7,0,110.6,1098.4,1.7,919.3,8.8,558.8,0,455.1,0.4,0.3,0,0,0,100.5,0,2.3,0,0,0,0.3,458.8,0,114.8,0,4.4,0,0,2,11.2,0.4,71.4,6.8,0,3.5,0,0.4,0.4,0,8.7,0.9,23.3,3.6,0.1,1.6,0.1,0,0,38.5,38.2,0.3,0.3,85.7,0.4,0.6,41.3
2023 Aug,49260,8087.7,0,8.3,0,0,543,239.2,9.5,2.9,69.3,1.3,11.7,5.4,1.7,1.8,0.5,0.5,0.1,269.9,0,0.3,0.1,13.2,22.8,0,0.1,6867.9,0,15,0.1,3,32826.1,0.1,2.9,14.4,253.5,41.3,6519.9,0,197.9,959.4,1773.3,0.2,0,102.7,2144.7,5.5,160.4,0,2766.4,216,0.3,0.2,2.4,5341.9,5,0,17.1,1.2,107.5,6.8,608.6,756.8,723.2,8.7,0,6263.8,1431.7,64,1714.4,553.3,0.2,60.3,7360.1,97.2,2.3,104.2,4.8,27.5,1.5,82.6,60.1,48.1,53.7,1417.3,1143.1,63.1,33.1,117.4,662.5,3.4,8.2,4.5,23.8,402.9,65,74.1,32.6,24.2,291.8,8.7,10,175.6,0,159.3,1180.9,4.5,966.2,6.1,685.2,0,595.3,0.8,0.2,0.1,0,0,73.1,0.1,14.7,0,0,0,0.9,300.8,36.6,0.1,0,1.3,0,0,0,12.8,0.3,4.1,5.4,11.9,5.8,0,1.7,0.5,0,4,0.7,24.3,0,0.1,0,0,0,0,27.4,53.9,0.1,0.5,5.1,0.2,1,102.6
2023 Jul,46574.6,6766.8,0,8.8,0,0,666.2,223.1,5.9,28.9,54.6,1.5,5.9,5.8,1.2,2.3,0.1,0.6,0.1,328.9,0,0.1,0.2,2.2,12.2,0,0.1,5415.3,0,1.2,0.2,1.4,30295.3,0,1.8,16.2,117.2,55.8,6504.9,0,314.4,698.2,1716,0.7,68.3,79.6,2154.7,6.7,13.1,0,2618.7,346,9.2,0.3,5.7,4835.2,0.1,0,7.9,1,138.9,5.7,549.5,487.6,974.2,13.7,0,5410.2,1254.5,60.2,1267.1,560.7,0.1,1.1,8281.2,103.5,1.1,180.3,5.7,3.1,2.8,112.4,112.3,15.6,40.2,1731.2,1178.1,61.8,44,101.1,619.2,2.5,10.3,2.8,20.8,274.1,63.2,74,49.5,28.5,537.3,11,7.9,213.8,0,150.4,1329.6,3,1181.9,8.3,722.9,0,600.4,0.5,0,0.2,0,0,116.8,0,3.5,0,0,0,1.5,508.4,71.7,19.7,0,0.2,0,0,0.8,12.8,0.2,4.2,1.6,0,7.1,0,1.7,0,52.9,3.9,6.6,21.9,6.1,152.6,0,0,0,0,29.5,0,0.8,0.3,55.4,6.7,1.3,50.4
2023 Jun,46726.3,7887.7,0,5.2,0,0,704.1,192.9,7,2.1,47.1,1.1,5.2,5.1,1.6,1,0,0.9,0.1,320.5,0,0.6,0.1,2.8,6.6,0,0.1,6580.8,0,0.6,0.4,1.6,30933.8,0,1.5,16.6,97.5,112.7,5975.8,0,297.7,894,1696.8,0.4,109.1,91.9,2472.5,3.5,0,0,2665.9,279.1,7.1,0.2,0.7,5870,3.8,0.1,5.4,0.2,45.1,49.8,572.5,605.2,752.6,11.8,0,5217,1226.7,43.6,1248.2,536.7,0.3,21.9,6945,104.7,0.1,132.6,5.8,2.2,1.3,110.5,46.6,79.7,66.5,1590.6,1090.7,25.3,51.4,128,653,1.5,16.2,3.7,25.5,432.4,50.3,67.5,32.7,48.1,393.9,5.8,7.4,151.1,0,235.1,592.7,4,780.3,7.8,605.9,0,507.7,0.2,2.8,0,0,0.1,84.9,0,4.6,0,0,0,5.7,353.9,0.5,59.3,0,1.4,0.2,0,0.2,9.5,0.2,4.3,31.6,0,4.4,0,1.1,0,0,3.3,1.1,21.2,19.2,0.2,0,0.1,0.1,0,52.9,25.1,0.3,0,47,25.7,1.3,43.8
